kod;kraj;region
6;DE;DE0
7;DE;DE0
8;DE;DE0
9;DE;DE0
10;DE;DE1POŁUDNIE
11;DE;DE1POŁUDNIE
12;DE;DE1POŁUDNIE
13;DE;DE1POŁUDNIE
14;DE;DE1POŁUDNIE
15;DE;DE1POŁUDNIE
16;DE;DE1POŁUDNIE
17;DE;DE1PÓŁNOC
18;DE;DE1PÓŁNOC
19;DE;DE1PÓŁNOC
20;DE;DE2POŁUDNIE
21;DE;DE2POŁUDNIE
22;DE;DE2POŁUDNIE
23;DE;DE2PÓŁNOC
24;DE;DE2PÓŁNOC
25;DE;DE2PÓŁNOC
26;DE;DE2POŁUDNIE
27;DE;DE2POŁUDNIE
28;DE;DE2POŁUDNIE
29;DE;DE2POŁUDNIE
30;DE;DE3
31;DE;DE3
32;DE;DE3
33;DE;DE3
34;DE;DE3
35;DE;DE3
36;DE;DE3
37;DE;DE3
38;DE;DE3
39;DE;DE3
40;DE;DE4
41;DE;DE4
42;DE;DE4
43;DE;DE4
44;DE;DE4
45;DE;DE4
46;DE;DE4
47;DE;DE4
48;DE;DE4
49;DE;DE4
50;DE;DE5
51;DE;DE5
52;DE;DE5
53;DE;DE5
54;DE;DE5
55;DE;DE5
56;DE;DE5
57;DE;DE5
58;DE;DE5
59;DE;DE5
60;DE;DE6
61;DE;DE6
62;DE;DE6
63;DE;DE6
64;DE;DE6
65;DE;DE6
66;DE;DE6
67;DE;DE6
68;DE;DE6
69;DE;DE6
70;DE;DE7PÓŁNOC
71;DE;DE7PÓŁNOC
72;DE;DE7PÓŁNOC
73;DE;DE7PÓŁNOC
74;DE;DE7PÓŁNOC
75;DE;DE7PÓŁNOC
76;DE;DE7PÓŁNOC
77;DE;DE7POŁUDNIE
78;DE;DE7POŁUDNIE
79;DE;DE7POŁUDNIE
80;DE;DE8PÓŁNOC
81;DE;DE8PÓŁNOC
82;DE;DE8PÓŁNOC
83;DE;DE8POŁUDNIE
84;DE;DE8PÓŁNOC
85;DE;DE8PÓŁNOC
86;DE;DE8PÓŁNOC
87;DE;DE8POŁUDNIE
88;DE;DE8POŁUDNIE
89;DE;DE8PÓŁNOC
90;DE;DE9PÓŁNOC
91;DE;DE9PÓŁNOC
92;DE;DE9PÓŁNOC
93;DE;DE9POŁUDNIE
94;DE;DE9POŁUDNIE
95;DE;DE9PÓŁNOC
96;DE;DE9PÓŁNOC
97;DE;DE9PÓŁNOC
98;DE;DE9PÓŁNOC
99;DE;DE9PÓŁNOC
;DK;DK
;EE;EE
1;ES;ESPÓŁNOC
2;ES;ESCENTRUM
3;ES;ESPOŁUDNIE
4;ES;ESPOŁUDNIE
5;ES;ESCENTRUM
6;ES;ESPOŁUDNIE
8;ES;ESPÓŁNOC
9;ES;ESPÓŁNOC
10;ES;ESPOŁUDNIE
11;ES;ESPOŁUDNIE
12;ES;ESCENTRUM
13;ES;ESCENTRUM
14;ES;ESPOŁUDNIE
15;ES;ESPOŁUDNIE
16;ES;ESCENTRUM
17;ES;ESPÓŁNOC
18;ES;ESPOŁUDNIE
19;ES;ESCENTRUM
20;ES;ESPÓŁNOC
21;ES;ESPOŁUDNIE
22;ES;ESPÓŁNOC
23;ES;ESPOŁUDNIE
24;ES;ESPÓŁNOC
25;ES;ESPÓŁNOC
26;ES;ESPÓŁNOC
27;ES;ESPOŁUDNIE
28;ES;ESCENTRUM
29;ES;ESPOŁUDNIE
30;ES;ESPOŁUDNIE
31;ES;ESPÓŁNOC
32;ES;ESPOŁUDNIE
33;ES;ESPÓŁNOC
34;ES;ESPÓŁNOC
35;ES;ESPOŁUDNIE
36;ES;ESPOŁUDNIE
37;ES;ESPOŁUDNIE
38;ES;ESPOŁUDNIE
39;ES;ESPÓŁNOC
40;ES;ESCENTRUM
41;ES;ESPOŁUDNIE
42;ES;ESPÓŁNOC
43;ES;ESPÓŁNOC
44;ES;ESCENTRUM
45;ES;ESCENTRUM
46;ES;ESCENTRUM
47;ES;ESCENTRUM
48;ES;ESPÓŁNOC
49;ES;ESPOŁUDNIE
50;ES;ESPÓŁNOC
52;ES;ESPOŁUDNIE
;FI;FI
1;FR;FRWSCHÓD
2;FR;FRPÓŁNOC
3;FR;FRWSCHÓD
4;FR;FRPOŁUDNIE
5;FR;FRWSCHÓD
6;FR;FRPOŁUDNIE
7;FR;FRWSCHÓD
8;FR;FRPÓŁNOC
9;FR;FRPOŁUDNIE
10;FR;FRWSCHÓD
11;FR;FRPOŁUDNIE
12;FR;FRPOŁUDNIE
13;FR;FRPOŁUDNIE
14;FR;FRZACHÓD
15;FR;FRWSCHÓD
16;FR;FRZACHÓD
17;FR;FRZACHÓD
18;FR;FRCENTRUM
19;FR;FRZACHÓD
20;FR;FRPOŁUDNIE
21;FR;FRWSCHÓD
22;FR;FRZACHÓD
23;FR;FRZACHÓD
24;FR;FRZACHÓD
25;FR;FRWSCHÓD
26;FR;FRWSCHÓD
27;FR;FRZACHÓD
28;FR;FRCENTRUM
29;FR;FRZACHÓD
30;FR;FRPOŁUDNIE
31;FR;FRPOŁUDNIE
32;FR;FRPOŁUDNIE
33;FR;FRZACHÓD
34;FR;FRPOŁUDNIE
35;FR;FRZACHÓD
36;FR;FRCENTRUM
37;FR;FRCENTRUM
38;FR;FRWSCHÓD
39;FR;FRWSCHÓD
40;FR;FRPOŁUDNIE
41;FR;FRCENTRUM
42;FR;FRWSCHÓD
43;FR;FRWSCHÓD
44;FR;FRZACHÓD
45;FR;FRCENTRUM
46;FR;FRPOŁUDNIE
47;FR;FRPOŁUDNIE
48;FR;FRPOŁUDNIE
49;FR;FRZACHÓD
50;FR;FRZACHÓD
51;FR;FRPÓŁNOC
52;FR;FRWSCHÓD
53;FR;FRZACHÓD
54;FR;FRPÓŁNOC
55;FR;FRPÓŁNOC
56;FR;FRZACHÓD
57;FR;FRPÓŁNOC
58;FR;FRCENTRUM
59;FR;FRPÓŁNOC
60;FR;FRPÓŁNOC
61;FR;FRZACHÓD
62;FR;FRPÓŁNOC
63;FR;FRWSCHÓD
64;FR;FRPOŁUDNIE
65;FR;FRPOŁUDNIE
66;FR;FRPOŁUDNIE
67;FR;FRWSCHÓD
68;FR;FRWSCHÓD
69;FR;FRWSCHÓD
70;FR;FRWSCHÓD
71;FR;FRWSCHÓD
72;FR;FRZACHÓD
73;FR;FRWSCHÓD
74;FR;FRWSCHÓD
75;FR;FRCENTRUM
76;FR;FRPÓŁNOC
77;FR;FRCENTRUM
78;FR;FRCENTRUM
79;FR;FRZACHÓD
80;FR;FRPÓŁNOC
81;FR;FRPOŁUDNIE
82;FR;FRPOŁUDNIE
83;FR;FRPOŁUDNIE
84;FR;FRPOŁUDNIE
85;FR;FRZACHÓD
86;FR;FRZACHÓD
87;FR;FRZACHÓD
88;FR;FRWSCHÓD
89;FR;FRCENTRUM
90;FR;FRWSCHÓD
91;FR;FRCENTRUM
92;FR;FRCENTRUM
93;FR;FRCENTRUM
94;FR;FRCENTRUM
95;FR;FRCENTRUM
98;FR;FRPOŁUDNIE
AB;GB;GBPÓŁNOC
AL;GB;GBPOŁUDNIE
B;GB;GBCENTRUM
B1;GB;GBCENTRUM
B2;GB;GBCENTRUM
B4;GB;GBCENTRUM
B7;GB;GBCENTRUM
B9;GB;GBCENTRUM
BA;GB;GBCENTRUM
BB;GB;GBCENTRUM
BD;GB;GBCENTRUM
BH;GB;GBCENTRUM
BL;GB;GBCENTRUM
BN;GB;GBPOŁUDNIE
BR;GB;GBPOŁUDNIE
BS;GB;GBCENTRUM
CA;GB;GBPÓŁNOC
CB;GB;GBPOŁUDNIE
CF;GB;GBCENTRUM
CH;GB;GBCENTRUM
CM;GB;GBPOŁUDNIE
CO;GB;GBPOŁUDNIE
CR;GB;GBPOŁUDNIE
CT;GB;GBPOŁUDNIE
CV;GB;GBCENTRUM
CW;GB;GBCENTRUM
DA;GB;GBPOŁUDNIE
DD;GB;GBPÓŁNOC
DE;GB;GBCENTRUM
DG;GB;GBPÓŁNOC
DH;GB;GBPÓŁNOC
DL;GB;GBCENTRUM
DN;GB;GBCENTRUM
DT;GB;GBCENTRUM
DY;GB;GBCENTRUM
E;GB;GBPOŁUDNIE
E1;GB;GBPOŁUDNIE
EC;GB;GBPOŁUDNIE
EH;GB;GBPÓŁNOC
EN;GB;GBPOŁUDNIE
EX;GB;GBCENTRUM
FK;GB;GBPÓŁNOC
FY;GB;GBCENTRUM
G;GB;GBPÓŁNOC
G3;GB;GBPÓŁNOC
G7;GB;GBPÓŁNOC
GL;GB;GBCENTRUM
GU;GB;GBPOŁUDNIE
HA;GB;GBPOŁUDNIE
HD;GB;GBCENTRUM
HG;GB;GBCENTRUM
HP;GB;GBPOŁUDNIE
HR;GB;GBCENTRUM
HU;GB;GBCENTRUM
HX;GB;GBCENTRUM
IG;GB;GBPOŁUDNIE
IP;GB;GBPOŁUDNIE
IV;GB;GBPÓŁNOC
KT;GB;GBPOŁUDNIE
KW;GB;GBPÓŁNOC
KY;GB;GBPÓŁNOC
L;GB;GBCENTRUM
L2;GB;GBCENTRUM
L3;GB;GBCENTRUM
LA;GB;GBCENTRUM
LD;GB;GBCENTRUM
LE;GB;GBCENTRUM
LL;GB;GBCENTRUM
LN;GB;GBCENTRUM
LS;GB;GBCENTRUM
LU;GB;GBPOŁUDNIE
M;GB;GBCENTRUM
M2;GB;GBCENTRUM
M3;GB;GBCENTRUM
M9;GB;GBCENTRUM
ME;GB;GBPOŁUDNIE
MK;GB;GBCENTRUM
ML;GB;GBPÓŁNOC
N;GB;GBPOŁUDNIE
N1;GB;GBPOŁUDNIE
NE;GB;GBPÓŁNOC
NG;GB;GBCENTRUM
NN;GB;GBCENTRUM
NP;GB;GBCENTRUM
NR;GB;GBPOŁUDNIE
NW;GB;GBPOŁUDNIE
OL;GB;GBCENTRUM
OX;GB;GBCENTRUM
PA;GB;GBPÓŁNOC
PE;GB;GBCENTRUM
PH;GB;GBPÓŁNOC
PL;GB;GBCENTRUM
PO;GB;GBPOŁUDNIE
PR;GB;GBCENTRUM
RG;GB;GBPOŁUDNIE
RH;GB;GBPOŁUDNIE
RM;GB;GBPOŁUDNIE
S;GB;GBCENTRUM
S2;GB;GBCENTRUM
S6;GB;GBCENTRUM
S7;GB;GBCENTRUM
SA;GB;GBCENTRUM
SE;GB;GBPOŁUDNIE
SG;GB;GBPOŁUDNIE
SK;GB;GBCENTRUM
SL;GB;GBPOŁUDNIE
SM;GB;GBPOŁUDNIE
SN;GB;GBCENTRUM
SO;GB;GBPOŁUDNIE
SP;GB;GBCENTRUM
SP;GB;GBCENTRUM
SS;GB;GBPOŁUDNIE
ST;GB;GBCENTRUM
SW;GB;GBPOŁUDNIE
SY;GB;GBCENTRUM
TA;GB;GBCENTRUM
TD;GB;GBPÓŁNOC
TF;GB;GBCENTRUM
TN;GB;GBPOŁUDNIE
TQ;GB;GBCENTRUM
TR;GB;GBCENTRUM
TS;GB;GBCENTRUM
TW;GB;GBPOŁUDNIE
UB;GB;GBPOŁUDNIE
W;GB;GBPOŁUDNIE
WA;GB;GBCENTRUM
WD;GB;GBPOŁUDNIE
WF;GB;GBCENTRUM
WN;GB;GBCENTRUM
WR;GB;GBCENTRUM
WS;GB;GBCENTRUM
WV;GB;GBCENTRUM
YO;GB;GBCENTRUM
;GR;GR
;HR;HR
;HU;HU
;IE;IE
0;IT;ITCENTRUM
1;IT;ITCENTRUM
2;IT;ITPÓŁNOC
3;IT;ITPÓŁNOC
4;IT;ITPÓŁNOC
5;IT;ITCENTRUM
6;IT;ITPOŁUDNIE
7;IT;ITPOŁUDNIE
8;IT;ITPOŁUDNIE
9;IT;ITPOŁUDNIE
;LI;LI
;LU;LU
;MC;FRPOŁUDNIE
;NL;NL
0;PL;PLWSCHÓD
1;PL;PLWSCHÓD
2;PL;PLWSCHÓD
3;PL;PLWSCHÓD
4;PL;PLWSCHÓD
5;PL;PLZACHÓD
6;PL;PLZACHÓD
7;PL;PLZACHÓD
8;PL;PLWSCHÓD
9;PL;PLWSCHÓD
;PT;PT
;RO;RO
;SE;SE
1;SI;SIZACHÓD
2;SI;SIWSCHÓD
3;SI;SIWSCHÓD
4;SI;SIZACHÓD
5;SI;SIZACHÓD
6;SI;SIZACHÓD
7;SI;SIWSCHÓD
8;SI;SIWSCHÓD
9;SI;SIWSCHÓD
;SK;SK
M1;GB;GBCENTRUM
L1;GB;GBCENTRUM
L4;GB;GBCENTRUM
W3;GB;GBPOŁUDNIE
G8;GB;GBPÓŁNOC
N9;GB;GBPOŁUDNIE
WA;GB;GBCENTRUM
G6;GB;GBPÓŁNOC
